Breed Name,Rarity,Dairy,Hump,Fluffy,Special_Detailed,Special,Hybrid,Main Color,Pattern,Secondary Color,Primary US Region,Special Location,Alt Name,Image URL,Wikipedia URL
Akaushi,5,,,,,,,red/brown,solid,,"Texas,Nationwide",Specialty Farm,Japanese Brown,/images/breeds/akaushi.jpg,https://en.wikipedia.org/wiki/Japanese_Brown
Aleutian Wild Cattle,6,,,Thick Coat,,,,red/brown,solid,,Aleutian Islands (Alaska),Wild,,/images/breeds/aleutian-wild-cattle.jpg,https://en.wikipedia.org/wiki/Aleutian_wild_cattle
American Aberdeen,4,,,,Notably small body,Small Body,,black,solid,,Nationwide,Specialty Farm,Australian Lowline,/images/breeds/american-aberdeen.jpg,https://en.wikipedia.org/wiki/Australian_Lowline
American Milking Devon,5,Some Dairy,,,,,,dark red,solid,,New England,Specialty Farm,,/images/breeds/american-milking-devon.jpg,https://en.wikipedia.org/wiki/American_Milking_Devon
American White Park,4,,,,,,,white,points,black/red,Nationwide,Specialty Farm,,/images/breeds/american-white-park.jpg,https://en.wikipedia.org/wiki/American_White_Park
Ankole-Watusi,5,,,,Very thick horns,Large Horns,,dark red/white,"solid,spotted",dark red/white,"Texas,West",Specialty Farm,,/images/breeds/ankole-watusi.jpg,https://en.wikipedia.org/wiki/Ankole-Watusi
Aubrac,4,,,,,,,fawn,"solid,points",black,Nationwide,Specialty Farm,,/images/breeds/aubrac.jpg,https://en.wikipedia.org/wiki/Aubrac_cattle
Ayrshire,3,Dairy,,,,,,white/red,spotted,red,"Northeast,Midwest",,,/images/breeds/ayrshire.jpg,https://en.wikipedia.org/wiki/Ayrshire
Balancer,2,,,,,,Gelbvieh / Angus,"black,red",solid,,"Midwest,Great Plains",,,/images/breeds/balancer.jpg,https://en.wikipedia.org/wiki/Balancer
Barzona,4,,,,,,,light red/dark red,solid,,Southwest,,,/images/breeds/barzona.jpg,https://en.wikipedia.org/wiki/Barzona
Bazadais,5,,,,,,,dark grey,solid,,Nationwide,Rare Specialty Farm,Bazadaise,/images/breeds/bazadais.jpg,https://en.wikipedia.org/wiki/Bazadaise
Beefalo,4,,,Thick Coat,,,Bison / Cattle,various/red/black,solid,,Nationwide,Specialty Farm,,/images/breeds/beefalo.jpg,https://en.wikipedia.org/wiki/Beefalo
Beefmaster,2,,Slight Hump,,,,Brahman / Hereford / Shorthorn,various/red/dun,"solid,white face + neck","white,red","South,Texas,Southwest",,,/images/breeds/beefmaster.jpg,https://en.wikipedia.org/wiki/Beefmaster
Belgian Blue,4,,,,Very muscular,Very muscular,,"blue,white,black",roan,"blue,white,black",Nationwide,Specialty Farm,,/images/breeds/belgian-blue.jpg,https://en.wikipedia.org/wiki/Belgian_Blue
Belted Galloway,3,,,Very Fluffy,,,,black/white,belted,white,"Northeast,Midwest",,,/images/breeds/belted-galloway.jpg,https://en.wikipedia.org/wiki/Belted_Galloway
Black Angus,1,,,,,,,black,solid,,Nationwide,,American Angus,/images/breeds/black-angus.jpg,https://en.wikipedia.org/wiki/Aberdeen_Angus
Black Baldy,2,,,Fluffy Head,,,Angus / Hereford,black,white face + neck,white,"Nationwide,Great Plains,West",,,/images/breeds/black-baldy.jpg,https://en.wikipedia.org/wiki/Black_Baldy
Black Hereford,3,,,Fluffy Head,,,,black,white face,white,"Midwest,South,Plains",,,/images/breeds/black-hereford.JPG,https://en.wikipedia.org/wiki/Black_Hereford
Blonde D'Aquitaine,4,,,,,,,blonde/fawn,solid,,Nationwide,,,/images/breeds/blonde-d-aquitaine.jpg,https://en.wikipedia.org/wiki/Blonde_d%27Aquitaine
Bonsmara,5,,,,,,,red/brown,solid,,"Texas,Great Plains",Specialty Farm,,/images/breeds/bonsmara.jpg,https://en.wikipedia.org/wiki/Bonsmara
